status,file_name,timestamp,user,ip,action,event,details
,,2024-11-19T02:53:55.994823,user_995,221.58.95.39,ERROR,,
,,2024-11-19T13:35:22.994826,user_967,86.68.13.113,,login,"{'item_id': 9557, 'quantity': 1, 'price': 792.41}"
Image saved,decoded_image_5680991959951358042.jpg,,,,,,
,,2024-11-19T09:37:12.994892,user_718,212.227.111.18,,purchase,"{'item_id': 4008, 'quantity': 4, 'price': 294.87}"
,,2024-11-18T00:49:58.994911,user_323,239.168.217.218,ERROR,,
Image saved,decoded_image_-1461366215592915334.jpg,,,,,,
,,2024-11-19T12:38:13.994931,user_602,185.186.213.153,ERROR,,
,,2024-11-18T01:33:23.994949,user_917,181.154.55.17,START,,
Image saved,decoded_image_4763992424259721381.jpg,,,,,,
Image saved,decoded_image_8733603409700762853.jpg,,,,,,
Image saved,decoded_image_8641450904153564704.jpg,,,,,,
,,2024-11-18T09:37:26.994995,user_801,180.65.138.111,,login,"{'item_id': 5140, 'quantity': 2, 'price': 368.35}"
,,2024-11-19T05:55:58.995017,user_140,91.179.206.113,,purchase,"{'item_id': 6520, 'quantity': 4, 'price': 449.61}"
Image saved,decoded_image_-6532225692965988036.jpg,,,,,,
,,2024-11-18T22:00:05.995029,user_445,132.160.140.64,START,,
Image saved,decoded_image_8294027656145128817.jpg,,,,,,
Image saved,decoded_image_3144352337332253651.jpg,,,,,,
,,2024-11-18T20:00:01.995064,user_539,66.177.12.212,ERROR,,
,,2024-11-18T14:15:01.995069,user_485,178.242.36.62,START,,
Image saved,decoded_image_7830321023282179907.jpg,,,,,,
,,2024-11-19T06:27:44.995089,user_179,244.32.178.246,,update,"{'item_id': 5296, 'quantity': 2, 'price': 876.82}"
Image saved,decoded_image_8805250560230415773.jpg,,,,,,
,,2024-11-17T19:45:37.995106,user_970,193.184.186.84,,error,"{'item_id': 6370, 'quantity': 5, 'price': 763.32}"
,,2024-11-18T07:40:40.995114,user_102,31.128.4.136,START,,
,,2024-11-18T08:27:31.995118,user_556,39.217.161.22,ERROR,,
,,2024-11-18T09:11:51.995128,user_25,36.51.29.236,START,,
,,2024-11-18T12:49:31.995131,user_133,61.126.239.66,START,,
,,2024-11-18T15:32:24.995144,user_9,59.19.134.126,,logout,"{'item_id': 3116, 'quantity': 5, 'price': 80.79}"
,,2024-11-18T17:56:19.995150,user_244,255.218.144.201,START,,
Image saved,decoded_image_4168897207742055462.jpg,,,,,,
Image saved,decoded_image_-685220716596505062.jpg,,,,,,
Image saved,decoded_image_1523969944616546950.jpg,,,,,,
,,2024-11-18T02:47:16.995214,user_232,94.169.203.249,START,,
,,2024-11-18T14:55:49.995217,user_883,201.209.169.82,START,,
,,2024-11-18T01:32:23.995231,user_722,53.91.214.34,ERROR,,
Image saved,decoded_image_-5214317740306291946.jpg,,,,,,
,,2024-11-18T07:45:08.995244,user_186,55.163.16.11,STOP,,
,,2024-11-17T23:13:58.995248,user_814,70.200.7.106,,purchase,"{'item_id': 5793, 'quantity': 5, 'price': 871.03}"
,,2024-11-19T12:26:06.995254,user_33,169.7.150.124,STOP,,
,,2024-11-19T04:10:01.995263,user_209,239.10.71.160,STOP,,
,,2024-11-19T09:56:01.995269,user_204,165.240.21.183,,update,"{'item_id': 5756, 'quantity': 5, 'price': 522.13}"
Image saved,decoded_image_-750348881003910094.jpg,,,,,,
Image saved,decoded_image_-6993520646286866054.jpg,,,,,,
Image saved,decoded_image_-807510419086835003.jpg,,,,,,
Image saved,decoded_image_7410123198024760075.jpg,,,,,,
Image saved,decoded_image_7215133886726383815.jpg,,,,,,
,,2024-11-18T09:16:33.995329,user_941,54.44.223.100,,purchase,"{'item_id': 3319, 'quantity': 4, 'price': 847.47}"
,,2024-11-19T08:29:09.995345,user_948,187.144.9.52,,purchase,"{'item_id': 4787, 'quantity': 4, 'price': 945.97}"
,,2024-11-17T21:01:11.995353,user_338,79.223.151.47,ERROR,,
Image saved,decoded_image_2474892225243611036.jpg,,,,,,
Image saved,decoded_image_-2094809924305482762.jpg,,,,,,
,,2024-11-19T16:37:25.995385,user_508,78.61.179.22,START,,
,,2024-11-19T15:14:22.995402,user_785,52.27.94.101,,error,"{'item_id': 3208, 'quantity': 1, 'price': 45.83}"
,,2024-11-19T07:12:05.995408,user_688,246.7.250.78,,logout,"{'item_id': 9888, 'quantity': 1, 'price': 695.19}"
,,2024-11-19T16:39:28.995419,user_980,164.116.134.197,,purchase,"{'item_id': 7173, 'quantity': 3, 'price': 520.16}"
Image saved,decoded_image_-7966207043836088840.jpg,,,,,,
,,2024-11-18T16:33:12.995443,user_113,129.228.132.14,ERROR,,
,,2024-11-18T07:25:26.995463,user_161,191.160.233.170,,update,"{'item_id': 4180, 'quantity': 4, 'price': 659.12}"
,,2024-11-18T23:39:22.995480,user_654,208.143.35.81,,update,"{'item_id': 8405, 'quantity': 4, 'price': 650.68}"
,,2024-11-19T12:38:30.995486,user_745,141.158.227.29,START,,
,,2024-11-19T12:19:38.995490,user_486,2.80.80.90,START,,
,,2024-11-19T12:13:57.995499,user_330,126.92.119.68,STOP,,
Image saved,decoded_image_4477107932782565168.jpg,,,,,,
Image saved,decoded_image_-4752097264402131956.jpg,,,,,,
,,2024-11-17T17:31:17.995519,user_671,211.54.211.192,,purchase,"{'item_id': 1798, 'quantity': 3, 'price': 262.52}"
,,2024-11-17T20:17:33.995528,user_115,160.192.237.95,,error,"{'item_id': 6135, 'quantity': 1, 'price': 495.4}"
,,2024-11-17T21:12:16.995534,user_281,57.76.45.143,STOP,,
,,2024-11-17T22:30:32.995539,user_408,43.134.134.104,ERROR,,
,,2024-11-18T02:27:13.995547,user_195,29.65.48.232,,logout,"{'item_id': 5062, 'quantity': 5, 'price': 106.76}"
,,2024-11-19T06:09:02.995555,user_669,150.44.224.154,START,,
,,2024-11-18T23:54:03.995561,user_554,16.163.223.228,START,,
,,2024-11-18T14:50:00.995565,user_447,228.146.166.96,STOP,,
Image saved,decoded_image_7661481787485911735.jpg,,,,,,
,,2024-11-18T19:09:49.995586,user_661,40.111.129.55,,logout,"{'item_id': 7603, 'quantity': 3, 'price': 520.21}"
,,2024-11-18T13:52:02.995599,user_870,138.127.212.19,,update,"{'item_id': 7658, 'quantity': 2, 'price': 11.22}"
,,2024-11-17T21:44:33.995612,user_95,198.169.15.48,,logout,"{'item_id': 1272, 'quantity': 3, 'price': 911.53}"
Image saved,decoded_image_7204309968966288145.jpg,,,,,,
,,2024-11-19T07:04:33.995632,user_824,205.183.120.210,START,,
Image saved,decoded_image_6752614011808752931.jpg,,,,,,
,,2024-11-18T11:06:07.995658,user_274,145.49.218.198,STOP,,
,,2024-11-19T05:19:41.995669,user_643,180.178.190.244,,logout,"{'item_id': 8655, 'quantity': 3, 'price': 479.31}"
,,2024-11-18T14:29:04.995686,user_201,160.206.116.199,,logout,"{'item_id': 9833, 'quantity': 5, 'price': 307.37}"
,,2024-11-19T10:42:16.995692,user_175,94.88.208.209,ERROR,,
,,2024-11-19T00:38:50.995704,user_242,195.45.129.102,,error,"{'item_id': 5266, 'quantity': 4, 'price': 737.21}"
Image saved,decoded_image_8247638751460953736.jpg,,,,,,
,,2024-11-18T15:44:39.995719,user_516,45.128.194.65,START,,
,,2024-11-17T23:27:26.995757,user_519,130.248.2.210,,logout,"{'item_id': 1702, 'quantity': 1, 'price': 435.55}"
,,2024-11-18T19:10:22.995768,user_461,8.56.223.104,,login,"{'item_id': 8067, 'quantity': 1, 'price': 795.88}"
Image saved,decoded_image_23825835950843212.jpg,,,,,,
,,2024-11-19T00:17:51.995781,user_199,183.107.36.221,ERROR,,
Image saved,decoded_image_6524844317794900814.jpg,,,,,,
,,2024-11-18T02:03:06.995791,user_605,140.182.165.229,STOP,,
,,2024-11-18T02:50:41.995795,user_78,189.24.13.72,ERROR,,
,,2024-11-18T07:58:23.995805,user_444,15.114.102.62,ERROR,,
,,2024-11-18T22:27:01.995821,user_258,208.78.133.246,,purchase,"{'item_id': 6046, 'quantity': 2, 'price': 196.01}"
,,2024-11-18T05:54:02.995830,user_612,83.159.174.136,STOP,,
,,2024-11-18T04:50:24.995846,user_485,107.95.99.224,,error,"{'item_id': 6684, 'quantity': 2, 'price': 255.61}"
,,2024-11-18T17:36:26.995852,user_445,169.57.49.212,,logout,"{'item_id': 4610, 'quantity': 4, 'price': 688.27}"
Image saved,decoded_image_8970166570865081124.jpg,,,,,,
,,2024-11-18T13:10:25.995867,user_414,149.48.120.162,START,,
,,2024-11-18T09:13:44.995882,user_357,84.238.23.40,ERROR,,
,,2024-11-19T02:25:16.995886,user_19,83.225.215.111,,logout,"{'item_id': 4200, 'quantity': 4, 'price': 966.04}"
,,2024-11-19T10:41:58.995911,user_17,63.132.54.171,,purchase,"{'item_id': 3728, 'quantity': 5, 'price': 482.05}"
,,2024-11-18T05:33:37.995917,user_724,206.239.94.224,ERROR,,
,,2024-11-18T01:28:55.995921,user_707,139.65.77.59,STOP,,
,,2024-11-18T11:07:12.995926,user_819,175.227.147.128,STOP,,
,,2024-11-18T11:01:28.995932,user_886,152.181.255.255,START,,
Image saved,decoded_image_3487386914403307260.jpg,,,,,,
,,2024-11-19T02:43:25.995961,user_832,182.211.254.2,STOP,,
Image saved,decoded_image_3687617691366178671.jpg,,,,,,
,,2024-11-18T07:16:00.995982,user_393,23.75.77.89,,error,"{'item_id': 6924, 'quantity': 4, 'price': 366.44}"
,,2024-11-18T16:01:58.995988,user_217,18.145.4.129,,purchase,"{'item_id': 3569, 'quantity': 4, 'price': 167.1}"
,,2024-11-19T04:20:10.995997,user_332,14.35.96.137,,login,"{'item_id': 6597, 'quantity': 1, 'price': 890.16}"
,,2024-11-18T19:51:59.996003,user_924,111.68.70.118,,purchase,"{'item_id': 2641, 'quantity': 4, 'price': 957.62}"
Image saved,decoded_image_9031109294893660813.jpg,,,,,,
,,2024-11-18T17:34:39.996034,user_208,148.58.244.214,,purchase,"{'item_id': 3253, 'quantity': 3, 'price': 666.1}"
,,2024-11-17T21:47:38.996040,user_316,155.3.51.242,START,,
Image saved,decoded_image_-8025457535102806237.jpg,,,,,,
,,2024-11-18T23:40:40.996063,user_472,91.138.43.37,STOP,,
Image saved,decoded_image_-1515458655919829689.jpg,,,,,,
,,2024-11-18T19:45:21.996083,user_12,21.247.114.109,,update,"{'item_id': 6767, 'quantity': 4, 'price': 620.61}"
Image saved,decoded_image_3152969536365670790.jpg,,,,,,
,,2024-11-19T08:04:54.996106,user_928,225.14.193.36,STOP,,
,,2024-11-19T12:52:11.996151,user_760,18.102.187.247,STOP,,
,,2024-11-17T17:57:07.996161,user_117,202.51.45.254,,purchase,"{'item_id': 7367, 'quantity': 3, 'price': 821.59}"
Image saved,decoded_image_3498266908475999063.jpg,,,,,,
Image saved,decoded_image_-7159685328202513750.jpg,,,,,,
,,2024-11-19T08:12:30.996181,user_927,113.230.169.110,,update,"{'item_id': 5702, 'quantity': 2, 'price': 65.5}"
,,2024-11-17T18:00:46.996190,user_299,150.134.28.109,,update,"{'item_id': 6487, 'quantity': 1, 'price': 717.24}"
,,2024-11-17T17:27:56.996196,user_1000,94.9.159.88,STOP,,
,,2024-11-18T07:10:45.996202,user_880,158.138.166.95,START,,
Image saved,decoded_image_-1247105175785793094.jpg,,,,,,
Image saved,decoded_image_-4277559385625708756.jpg,,,,,,
Image saved,decoded_image_-2620841764750314803.jpg,,,,,,
,,2024-11-17T18:24:33.996254,user_906,223.178.186.35,,purchase,"{'item_id': 8855, 'quantity': 5, 'price': 793.13}"
,,2024-11-18T09:23:43.996260,user_258,92.84.203.115,,purchase,"{'item_id': 4570, 'quantity': 5, 'price': 977.99}"
Image saved,decoded_image_-1080115868023318906.jpg,,,,,,
,,2024-11-18T22:24:30.996280,user_158,176.176.168.144,ERROR,,
,,2024-11-18T10:39:26.996295,user_185,209.197.80.29,ERROR,,
,,2024-11-19T07:29:36.996318,user_609,104.6.11.21,,update,"{'item_id': 4930, 'quantity': 1, 'price': 675.0}"
Image saved,decoded_image_4898316986473875284.jpg,,,,,,
,,2024-11-18T18:57:21.996332,user_835,57.97.46.205,STOP,,
Image saved,decoded_image_2897810193853209630.jpg,,,,,,
,,2024-11-18T00:20:02.996349,user_970,120.170.155.234,,error,"{'item_id': 9041, 'quantity': 4, 'price': 712.37}"
,,2024-11-19T06:57:24.996355,user_532,39.242.186.27,STOP,,
,,2024-11-18T13:59:08.996361,user_103,135.6.21.8,,logout,"{'item_id': 4167, 'quantity': 3, 'price': 238.84}"
Image saved,decoded_image_-7214637916386973229.jpg,,,,,,
Image saved,decoded_image_-2227143521692144799.jpg,,,,,,
,,2024-11-17T22:22:14.996384,user_520,239.149.9.234,START,,
Image saved,decoded_image_5550832763567920885.jpg,,,,,,
,,2024-11-19T04:21:41.996397,user_117,3.127.220.116,ERROR,,
,,2024-11-19T12:21:44.996403,user_149,246.229.45.221,START,,
,,2024-11-18T10:05:02.996406,user_620,87.174.21.81,,login,"{'item_id': 9344, 'quantity': 1, 'price': 574.6}"
,,2024-11-19T10:06:10.996421,user_354,20.113.217.205,ERROR,,
Image saved,decoded_image_4596846308378836269.jpg,,,,,,
,,2024-11-18T10:22:40.996442,user_967,29.127.87.230,STOP,,
,,2024-11-19T10:12:49.996448,user_615,73.64.113.143,,logout,"{'item_id': 5815, 'quantity': 3, 'price': 490.32}"
,,2024-11-18T22:52:54.996454,user_97,222.80.151.158,ERROR,,
,,2024-11-18T19:29:21.996460,user_246,182.224.115.199,,error,"{'item_id': 4953, 'quantity': 5, 'price': 225.02}"
,,2024-11-18T05:30:24.996469,user_169,101.173.200.205,,login,"{'item_id': 2789, 'quantity': 1, 'price': 306.83}"
Image saved,decoded_image_-4204685992951456995.jpg,,,,,,
,,2024-11-17T17:32:17.996488,user_892,92.75.162.101,STOP,,
,,2024-11-17T18:14:37.996491,user_966,92.131.51.18,START,,
,,2024-11-18T00:30:57.996495,user_765,130.227.206.173,,purchase,"{'item_id': 1521, 'quantity': 2, 'price': 542.68}"
Image saved,decoded_image_-4219582373991782473.jpg,,,,,,
,,2024-11-18T17:41:48.996540,user_110,162.75.181.44,,update,"{'item_id': 1157, 'quantity': 2, 'price': 280.38}"
Image saved,decoded_image_1516087923578907912.jpg,,,,,,
,,2024-11-19T11:31:52.996555,user_720,18.249.241.177,ERROR,,
Image saved,decoded_image_992876688405112124.jpg,,,,,,
,,2024-11-17T18:31:03.996598,user_452,142.15.25.208,,error,"{'item_id': 4239, 'quantity': 1, 'price': 395.58}"
,,2024-11-18T23:25:46.996610,user_450,224.134.127.167,START,,
,,2024-11-17T21:47:29.996616,user_501,209.146.248.80,START,,
,,2024-11-19T05:36:58.996621,user_154,115.255.82.4,START,,
,,2024-11-17T22:37:18.996633,user_980,121.231.236.24,STOP,,
,,2024-11-18T03:58:48.996637,user_966,52.155.122.156,START,,
,,2024-11-18T13:22:40.996640,user_139,97.65.73.178,,logout,"{'item_id': 2210, 'quantity': 1, 'price': 873.95}"
,,2024-11-18T16:49:48.996657,user_690,153.240.247.7,,error,"{'item_id': 6158, 'quantity': 5, 'price': 307.28}"
Image saved,decoded_image_-5984829626037586655.jpg,,,,,,
,,2024-11-19T13:12:25.996673,user_465,75.238.227.142,,login,"{'item_id': 3129, 'quantity': 3, 'price': 354.77}"
,,2024-11-18T03:57:00.996683,user_117,81.163.17.152,ERROR,,
Image saved,decoded_image_-5717461913429644123.jpg,,,,,,
,,2024-11-18T21:56:38.996698,user_943,167.217.216.86,,update,"{'item_id': 6170, 'quantity': 4, 'price': 97.14}"
,,2024-11-18T19:12:59.996704,user_942,2.51.197.52,,error,"{'item_id': 8770, 'quantity': 5, 'price': 467.02}"
,,2024-11-19T12:48:02.996710,user_374,142.251.74.197,STOP,,
Image saved,decoded_image_1784523407284003782.jpg,,,,,,
,,2024-11-18T02:51:16.996741,user_463,224.55.106.180,,update,"{'item_id': 7145, 'quantity': 3, 'price': 878.13}"
,,2024-11-19T12:42:47.996755,user_283,50.58.79.170,START,,
,,2024-11-18T23:34:04.996763,user_356,158.206.180.15,,purchase,"{'item_id': 8824, 'quantity': 5, 'price': 591.12}"
,,2024-11-18T14:32:16.996774,user_814,110.13.185.119,,error,"{'item_id': 8927, 'quantity': 1, 'price': 26.47}"
,,2024-11-18T21:35:45.996781,user_398,106.144.229.6,,update,"{'item_id': 5817, 'quantity': 2, 'price': 124.8}"
Image saved,decoded_image_-8847291886369192795.jpg,,,,,,
Image saved,decoded_image_-6654841729958561154.jpg,,,,,,
,,2024-11-18T03:19:01.996815,user_790,172.72.77.251,ERROR,,
,,2024-11-18T16:08:10.996837,user_443,218.207.123.94,,logout,"{'item_id': 8710, 'quantity': 4, 'price': 258.06}"
,,2024-11-18T00:59:06.996846,user_605,60.54.210.250,,error,"{'item_id': 7771, 'quantity': 4, 'price': 284.03}"
Image saved,decoded_image_8286114897545677199.jpg,,,,,,
Image saved,decoded_image_6444786856304631933.jpg,,,,,,
,,2024-11-18T01:22:19.996893,user_388,247.14.62.83,STOP,,
,,2024-11-18T21:08:52.996899,user_35,1.67.161.114,,update,"{'item_id': 1376, 'quantity': 2, 'price': 187.31}"
,,2024-11-18T12:25:18.996908,user_210,88.171.200.225,,login,"{'item_id': 1569, 'quantity': 1, 'price': 923.89}"
Image saved,decoded_image_-2910383406801590468.jpg,,,,,,
,,2024-11-17T19:31:49.996927,user_246,192.82.56.253,START,,
,,2024-11-19T09:02:26.996937,user_138,37.157.145.71,START,,
Image saved,decoded_image_-2138367644191464692.jpg,,,,,,
,,2024-11-19T10:18:52.996947,user_675,162.144.138.230,ERROR,,
,,2024-11-19T07:57:23.996961,user_747,254.159.235.212,,error,"{'item_id': 5997, 'quantity': 1, 'price': 261.48}"
,,2024-11-19T16:07:11.996972,user_842,74.125.176.43,START,,
,,2024-11-18T18:25:57.996980,user_982,167.81.230.155,,update,"{'item_id': 9638, 'quantity': 5, 'price': 15.71}"
Image saved,decoded_image_3333031610130033321.jpg,,,,,,
,,2024-11-19T16:11:41.996999,user_452,128.168.167.160,,login,"{'item_id': 1008, 'quantity': 1, 'price': 690.11}"
,,2024-11-19T04:26:30.997005,user_841,212.158.130.192,START,,
Image saved,decoded_image_217610629596547908.jpg,,,,,,
,,2024-11-19T15:37:08.997046,user_33,169.169.226.220,,purchase,"{'item_id': 8253, 'quantity': 3, 'price': 524.52}"
,,2024-11-18T02:07:09.997052,user_144,88.96.193.15,,purchase,"{'item_id': 3001, 'quantity': 3, 'price': 906.26}"
,,2024-11-19T14:19:47.997058,user_263,31.155.67.74,,logout,"{'item_id': 5733, 'quantity': 3, 'price': 563.7}"
,,2024-11-18T20:56:11.997064,user_380,68.146.248.195,,login,"{'item_id': 8383, 'quantity': 2, 'price': 949.2}"
,,2024-11-17T21:57:54.997083,user_172,185.115.51.158,START,,
,,2024-11-18T19:56:08.997087,user_875,253.198.8.29,,error,"{'item_id': 6787, 'quantity': 2, 'price': 394.83}"
,,2024-11-19T10:25:52.997103,user_749,179.5.138.123,START,,
Image saved,decoded_image_-7137933043855889255.jpg,,,,,,
,,2024-11-18T02:43:52.997114,user_945,5.159.31.50,,update,"{'item_id': 5012, 'quantity': 5, 'price': 400.5}"
Image saved,decoded_image_-8480066143634335713.jpg,,,,,,
,,2024-11-18T05:06:41.997147,user_240,159.191.203.195,STOP,,
,,2024-11-19T00:47:18.997158,user_45,198.209.59.234,,error,"{'item_id': 7362, 'quantity': 5, 'price': 78.49}"
,,2024-11-19T05:50:54.997166,user_171,63.88.60.235,,login,"{'item_id': 1881, 'quantity': 4, 'price': 654.83}"
,,2024-11-18T13:44:30.997172,user_524,180.98.215.98,STOP,,
Image saved,decoded_image_-5942699048680107380.jpg,,,,,,
,,2024-11-18T19:56:27.997194,user_500,72.3.180.53,,update,"{'item_id': 2226, 'quantity': 4, 'price': 559.91}"
Image saved,decoded_image_2504528096254704119.jpg,,,,,,
Image saved,decoded_image_999170032681548860.jpg,,,,,,
,,2024-11-19T13:59:38.997221,user_854,77.139.248.118,,logout,"{'item_id': 1457, 'quantity': 1, 'price': 615.26}"
Image saved,decoded_image_8693570742452529288.jpg,,,,,,
Image saved,decoded_image_4865180988178111282.jpg,,,,,,
,,2024-11-19T05:25:46.997244,user_230,35.200.71.177,START,,
,,2024-11-18T22:42:44.997248,user_710,4.173.82.196,,update,"{'item_id': 1963, 'quantity': 2, 'price': 754.48}"
Image saved,decoded_image_6980591744647819538.jpg,,,,,,
,,2024-11-18T06:55:23.997265,user_725,48.21.47.33,,purchase,"{'item_id': 1080, 'quantity': 4, 'price': 426.05}"
,,2024-11-18T16:23:38.997286,user_118,186.219.177.219,STOP,,
,,2024-11-19T03:54:37.997296,user_193,224.170.17.118,ERROR,,
Image saved,decoded_image_5043417613967865991.jpg,,,,,,
,,2024-11-17T22:36:27.997308,user_118,24.187.39.30,,error,"{'item_id': 5904, 'quantity': 4, 'price': 125.31}"
,,2024-11-19T01:00:05.997314,user_522,51.126.236.16,ERROR,,
Image saved,decoded_image_744684320927770325.jpg,,,,,,
,,2024-11-19T03:01:44.997327,user_366,118.226.130.7,,update,"{'item_id': 2037, 'quantity': 2, 'price': 254.05}"
,,2024-11-18T05:04:20.997333,user_418,37.202.24.163,,error,"{'item_id': 9818, 'quantity': 5, 'price': 20.73}"
,,2024-11-18T21:29:50.997346,user_795,217.41.212.75,START,,
,,2024-11-18T21:44:19.997376,user_163,60.83.104.26,START,,
Image saved,decoded_image_8221369074098060783.jpg,,,,,,
,,2024-11-19T16:53:30.997388,user_645,151.3.53.138,ERROR,,
,,2024-11-17T17:18:19.997392,user_244,31.252.84.28,,login,"{'item_id': 7828, 'quantity': 1, 'price': 928.01}"
,,2024-11-18T06:12:36.997398,user_653,113.217.219.37,ERROR,,
Image saved,decoded_image_4960463138376271825.jpg,,,,,,
,,2024-11-18T01:38:55.997430,user_28,129.36.241.242,STOP,,
,,2024-11-19T00:44:16.997433,user_176,80.19.187.92,STOP,,
,,2024-11-17T21:02:36.997437,user_941,203.115.47.245,STOP,,
Image saved,decoded_image_1750107115166054947.jpg,,,,,,
,,2024-11-18T16:59:09.997448,user_413,188.44.248.12,START,,
,,2024-11-19T04:35:19.997452,user_204,23.134.3.22,,error,"{'item_id': 7853, 'quantity': 4, 'price': 39.5}"
,,2024-11-19T05:12:27.997458,user_356,50.60.222.175,,update,"{'item_id': 8460, 'quantity': 4, 'price': 314.19}"
,,2024-11-19T01:26:42.997464,user_102,187.94.139.14,,purchase,"{'item_id': 5731, 'quantity': 4, 'price': 193.7}"
,,2024-11-17T17:17:43.997470,user_333,25.88.4.57,ERROR,,
,,2024-11-18T08:43:15.997474,user_58,122.249.92.95,ERROR,,
,,2024-11-18T06:48:30.997477,user_116,255.143.76.194,,purchase,"{'item_id': 7319, 'quantity': 3, 'price': 748.51}"
,,2024-11-19T15:46:07.997494,user_2,111.108.101.119,STOP,,
,,2024-11-18T02:04:56.997500,user_925,123.64.218.121,,logout,"{'item_id': 8501, 'quantity': 5, 'price': 321.49}"
,,2024-11-18T16:19:53.997507,user_593,220.133.13.242,,logout,"{'item_id': 5626, 'quantity': 4, 'price': 306.72}"
,,2024-11-18T18:02:33.997523,user_458,168.31.165.177,STOP,,
,,2024-11-19T03:11:10.997529,user_894,174.231.37.153,,login,"{'item_id': 4100, 'quantity': 5, 'price': 717.64}"
,,2024-11-18T21:38:00.997537,user_502,82.111.237.126,,logout,"{'item_id': 4059, 'quantity': 3, 'price': 469.59}"
,,2024-11-18T03:53:21.997543,user_679,118.178.117.32,,login,"{'item_id': 7491, 'quantity': 3, 'price': 116.8}"
Image saved,decoded_image_-5176562996243759975.jpg,,,,,,
,,2024-11-18T10:25:15.997566,user_45,69.30.183.170,,purchase,"{'item_id': 4369, 'quantity': 5, 'price': 519.37}"
Image saved,decoded_image_-3514381390600703271.jpg,,,,,,
,,2024-11-18T04:14:06.997579,user_70,200.224.207.109,STOP,,
,,2024-11-19T02:18:41.997586,user_955,134.129.228.84,,purchase,"{'item_id': 1227, 'quantity': 5, 'price': 366.17}"
,,2024-11-18T14:27:24.997592,user_919,91.125.60.202,,error,"{'item_id': 9918, 'quantity': 5, 'price': 619.75}"
,,2024-11-18T10:07:55.997604,user_713,133.23.236.144,STOP,,
,,2024-11-19T00:45:36.997607,user_259,120.178.224.136,START,,
Image saved,decoded_image_8902857424592925823.jpg,,,,,,
,,2024-11-18T11:32:57.997628,user_442,56.83.210.190,,update,"{'item_id': 6175, 'quantity': 3, 'price': 196.68}"
Image saved,decoded_image_-3392936304609421484.jpg,,,,,,
,,2024-11-19T04:30:44.997648,user_139,207.48.70.162,,error,"{'item_id': 2610, 'quantity': 1, 'price': 11.96}"
Image saved,decoded_image_-4606933508890082753.jpg,,,,,,
,,2024-11-19T06:05:27.997664,user_81,233.254.233.87,,login,"{'item_id': 2763, 'quantity': 5, 'price': 553.52}"
,,2024-11-19T11:04:16.997683,user_968,220.83.218.170,,logout,"{'item_id': 7286, 'quantity': 3, 'price': 138.92}"
Image saved,decoded_image_-3902818068104396450.jpg,,,,,,
,,2024-11-18T00:44:16.997696,user_491,244.141.1.44,STOP,,
,,2024-11-18T14:55:42.997700,user_757,137.231.192.70,,logout,"{'item_id': 8631, 'quantity': 4, 'price': 499.98}"
Image saved,decoded_image_1378415277331308241.jpg,,,,,,
,,2024-11-19T15:23:26.997723,user_980,27.213.62.206,,logout,"{'item_id': 3794, 'quantity': 2, 'price': 785.88}"
,,2024-11-19T02:54:06.997729,user_11,165.200.239.239,ERROR,,
Image saved,decoded_image_-4996097457155714122.jpg,,,,,,
,,2024-11-19T01:04:22.997743,user_745,230.227.74.81,,logout,"{'item_id': 1362, 'quantity': 5, 'price': 732.57}"
,,2024-11-19T11:21:43.997752,user_370,96.27.105.62,,login,"{'item_id': 3474, 'quantity': 1, 'price': 261.91}"
